ID	ステータス	シリーズ	資料タイプ	候補タイトル	一次資料URL	一次資料到達状態	現代との接続仮説	記事化タイトル案	面白さ	現代接続	一次資料	検証難度	収益化	総合優先度	未確認ポイント	次アクション	メモ	専門家に突っ込まれそうな点	正確な言い換え
ML-001	Published	AI・機械学習特許	特許	LeCun CNN重み共有特許	https://patents.google.com/patent/US5067164/en	Primary Confirmed	現代Conv2dの重み共有と問題意識が重なる前史として読める	1989年のBell Labsが特許にした「重み共有」	5	5	5	3	4	16	LeNet-5との継承関係・ATM展開履歴・関連ファミリー特許	完了	ep17 発掘ノート 公開済み（2026-05-06）DBになく新規追加	重み共有の着想はFukushima 1980が先。本特許はBP+重み共有の組み合わせ	現代CNNの設計思想と重なる先行例。技術的継承は一次資料未確認
ML-002	Published	AI・機械学習特許	特許	LeCun接線ベクトル訓練特許	https://patents.google.com/patent/US5572628/en	Primary Confirmed	変換不変訓練の前史として読める。現代データ拡張との問題意識が重なる	回転・ズレに強くする「接線ベクトル」訓練特許	4	4	4	3	3	12	Claim 1詳細・Simard後続研究との関係	完了	ep18 発掘メモ 公開済み（2026-05-06）DBになく新規追加	接線ベクトル法とデータ拡張は手法が根本的に異なる	変換不変訓練の問題意識の先行例。現代augmentationとは設計が別
ML-003	Published	AI・機械学習特許	特許	LeCun多解像度シンボル認識特許	https://patents.google.com/patent/US5337372/en	Primary Found Not Read	低解像度絞り込み→高解像度確認の設計思想が現代検出パイプラインと問題意識が重なる	1992年Bell Labsの多解像度シンボル認識特許	4	4	4	3	3	12	Claim 1詳細・Forward citations・同時期他手法との差分	完了	ep19 発掘メモ 公開済み（2026-05-06）DBになく新規追加	文字認識特化タスクと汎用物体検出は設計前提が異なる	粗→細の計算効率化の先行例。現代検出パイプラインとの直接継承は示せない
ML-004	Source Found	AI・機械学習特許	特許	Rosenblatt パーセプトロン特許	https://patents.google.com/patent/US3287649	Primary Found Not Read	単層ニューラルネットの「学習可能な重み」という問いが現代の深層学習と問題意識が重なる	パーセプトロン特許US3287649を読む──1959年に立てられた「機械が学ぶ」という問いの第一歩	5	5	3	3	3	16	US NavyがFundingか・Minskyとの論争経緯・1969年AI冬との関係	Claim 1と訓練則（perceptron convergence theorem）を確認	Cornell Aeronautical Lab、US Office of Naval Research資金	現代ニューラルネットの直系とは言えない。単層線形分類器であり非線形問題を解けない点が根本的に異なる	機械が例から学ぶという問題意識の最初期実装。現代NNとは構造が根本的に異なる
ML-005	Source Found	AI・機械学習特許	特許	AT&T Bell Labs HMM音声認識特許	https://patents.google.com/patent/US4587670A/en	Primary Found Not Read	HMMによる音声認識が現代のWhisper・Siri・音声変換の前史として読める	1982年AT&Tが特許にしたHMM音声認識──US4587670AをWhisper時代に読み返す	4	5	5	3	3	16	発明者3名（Levinson/Rabiner/Sondhi）の役割・IBM Jelinek系との差分・失効状態	Claim 1と技術内容を確認	AT&T Bell Labs。発明者はIBMではなくAT&T系	HMM音声認識とDNNベースEnd-to-Endは解法が根本的に異なる。問題意識（音素列を確率モデルで推定）の先行例として読む	確率的音声モデル実装の前史。現代End-to-EndモデルとはアーキテクチャとFeature extractionが根本的に異なる
ML-006	Source Found	AI・機械学習特許	特許	LSTM長短期記憶特許	https://patents.google.com/patent/US6038337	Primary Found Not Read	ゲート機構で勾配消失を解決した前史として現代のTransformer/Mamba系と問題意識が重なる	1997年Hochreiter-Schmidhuberが解いた問い──勾配消失をゲートで乗り越える	5	5	3	3	3	14	Schmidhuber特許の番号確認・TU Munich期か・学術論文との対応確認	URL確認後にClaim 1を確認	Hochreiter(Schmidhuber研)はTU Münchenでの研究	Transformerとは注意機構の設計が根本的に異なる。RNNをゲートで制御するという問題意識の先行例	RNN勾配消失の問題意識の先行例。Transformerとは設計が根本的に別
ML-007	Source Found	AI・機械学習特許	特許	Word2Vec分散表現特許	https://patents.google.com/patent/US9063963B2	Primary Found Not Read	単語を密なベクトルで表現する前史として現代のEmbedding/RAGへ接続できる	2013年Googleが特許にした分散表現──US9063963B2とLLM時代の埋め込み	4	5	3	3	3	14	Mikolov他の発明者構成・学術論文との対応・Google独占の影響	URL確認後にClaim 1を確認	Google Research、Mikolov/Chen/Corrado/Dean	BERTやSentence-Transformersとは学習目的と設計が根本的に異なる。問題意識（意味を数値で近似する）の先行例	浅い目的関数で意味近似を達成した前史。現代の深い文脈表現とは設計が別
IC-001	Published	インターネット・暗号特許	特許	Diffie-Hellman鍵交換特許	https://patents.google.com/patent/US4200770A/en	Primary Found Not Read	鍵を送らずに鍵を共有するという発想がTLS/HTTPS/Signal暗号の基礎として読める	1977年Stanfordが特許にした「鍵を送らない鍵交換」──US4200770Aを現代HTTPS時代に読み返す	5	5	5	4	4	15	1997年失効の経緯・RSA特許との先後関係・NSA関与の噂の一次資料	ep30 発掘メモとして公開（2026-05-07 Day 6）	Stanford University、Diffie/Hellman/Merkleの3名（Google Patents表紙で確認、出願1977-09-06、成立1980-04-29、米国は1997年失効済み）	量子コンピュータによる離散対数問題の解法でDHも危殆化する点は現代的問題として明記が必要	共有秘密の数学的導出の先行例。現代TLSの鍵交換はECDHE等に発展しており設計が異なる
IC-002	Published	インターネット・暗号特許	特許	HTTPクッキー特許	https://patents.google.com/patent/US5774670A/en	Primary Found Not Read	ウェブのセッション状態管理からパーソナライゼーション・トラッキング・プライバシー規制への前史として読める	Netscapeが1995年に特許にした「クッキー」──US5774670Aが立てたウェブの記憶問題	5	5	5	2	4	17	失効状態・第三者クッキー廃止（Chrome 2024）との接続・Montulli本人ブログ	ep27 発掘メモとして公開（2026-05-07）	Netscape Communications Corp、Lou Montulli単独発明（DBにあったGiannandrea共同は誤り、Google Patents表紙で確認）。Set-Cookie構文・domain/path属性・secureフラグまで明記	「クッキー＝悪」の単純化は危険。技術的にはHTTPのステートレス問題を解決した設計	HTTPのステートレス問題に対するサーバー主導セッション管理の前史。現代のJWTやOAuth tokenとは設計が異なる
IC-003	Published	インターネット・暗号特許	特許	JPEG圧縮特許（Compression Labs US4698672A）	https://patents.google.com/patent/US4698672A	Primary Read	画像圧縮アルゴリズムが標準化された過程と特許紛争からWebP/AVIF時代への前史として読める	『JPEG』と書いていない『JPEG特許』──Compression LabsのUS4698672Aが2002年にウェブを揺らした事件の核	4	4	5	3	3	15	Description全文・Claim 2以降・USPTO再審査記録・Forgent訴訟一次資料・Assignment譲渡履歴	公開済（ep33発掘メモ）	【DB訂正2026-05-07】旧URL US4858017 は Columbia大の階層画像符号化特許（Habib Torbey単独発明・JPEG無関係）。実体は US4698672A『Coding system for reducing redundancy』、Compression Labs（Wen-Hsiung Chen + Daniel J. Klenke、2名）、1986-10-27出願・1987-10-06成立・米国2006-10-27失効。Current Assignee は MAGNITUDE COMPRESSION SYSTEMS Inc。本文には『JPEG』という単語は一度も出ない＝ビデオ圧縮特許で、JPEG適用は2002年Forgent側の解釈	JPEG標準全体がこの1特許で保護されているという誤解を払拭する（標準には多数の特許が絡む）／本文にJPEG記載がない事実	JPEG圧縮標準の一部に関わる特許の前史。標準全体を保護するものではない
IC-004	Published	インターネット・暗号特許	特許	MP3音声圧縮特許	https://patents.google.com/patent/US5579430	Primary Found Not Read	心理音響学モデルによる非可逆圧縮が現代の音声ストリーミング・Podcast・音楽配信の前史として読める	1992年FraunhoferがISO/IECに提出したMP3特許──US5579430が変えた音楽の配り方	5	5	4	3	4	17	特許プールとロイヤリティの歴史・2017年Fraunhofer失効宣言・AACとの比較	ep29 発掘ノートとして公開（2026-05-07 Day 6）	Fraunhofer Gesellschaft、5名共同（Grill/Brandenburg/Sporer/Kurten/Eberlein、DBの「Brandenburg中心」は不正確）。米国出願1995-01-26、優先1989-04-17（独DE3912605）、2013年米国失効	MP3アルゴリズムは単一特許ではなく特許群で保護されていた点を明記する	心理音響学的マスキングを利用した非可逆音声圧縮の前史。AACやOpusは別のアルゴリズム設計
IC-005	Published	インターネット・暗号特許	特許	Wi-Fi CSIRO特許	https://patents.google.com/patent/US5487069	Primary Found Not Read	無線LANのOFDM技術特許が標準必須特許（SEP）として2億ドル超の和解金に発展した前史として読める	オーストラリアの公的研究機関が持っていたWi-Fi特許──CSIROがIEEE 802.11標準を揺らした事件	5	5	3	3	4	16	US5487069の正確な番号確認・OFDM技術の説明精度・14社との和解額一次資料	ep31 発掘メモとして公開（2026-05-07 Day 6）	CSIRO（豪）、5名共同（O'Sullivan/Daniels/Percival/Ostry/Deane）。米国出願1993-11-23、成立1996-01-23、Expired Lifetime。14社との和解金は公知資料で総額$430M超と報じられているが一次資料未確認	CSIROがWi-Fiを「発明した」は誤り。OFDM実装の特定側面に関する特許を持っていただけ	IEEE 802.11標準に関わるOFDM実装の一側面の特許。Wi-Fi全体の発明者ではない
IC-006	Published	インターネット・暗号特許	特許	SSL/TLS前身・ウェブ暗号化特許（Netscape US5657390A）	https://patents.google.com/patent/US5657390	Primary Read	ウェブブラウザのHTTPS通信の前史として現代のTLS 1.3・HSTS・HTTP/3との問題意識が重なる	アプリと転送層の間に暗号を挟む──Netscape『Secure socket layer』特許US5657390Aが1995年に書いたHTTPSの土台	4	5	3	4	3	15	Description全文・Claim 2以降・MetaへのAssignment譲渡記録・SSL 3.0以降の関連特許・TLS RFC標準化への影響	公開済（ep34発掘メモ）	【確定2026-05-07】US5657390A『Secure socket layer application program apparatus and method』、Netscape Communications Corp（Taher Elgamal + Kipp E. B. Hickman、2名）、1995-08-25出願・1997-08-12成立・米国失効済（Lifetime）。本文に『Secure Sockets Layer』『SSL library』『SSL protocol』複数回登場。引用にRSA・MD5・Diffie-Hellman。Current Assignee は Meta Platforms Inc（旧Facebook）という数奇な譲渡履歴	TLS 1.3と旧SSL 2.0/3.0は設計が根本的に異なる。後方互換の問題を明記する／MD5は2005年以降破られて使用禁止	ウェブ通信暗号化の先行設計例。現代TLS 1.3はRFCで定義されており、Netscape特許とは別物
FH-001	Published	食品・健康特許	特許	瞬間冷凍食品特許	https://patents.google.com/patent/US1773079A/en	Verified	急速凍結による食品の品質保持が現代のフードデリバリー・冷凍食品産業の前史として読める	Birdseyeが1926年優先で特許にした「瞬間冷凍」──US1773079Aがスーパーの冷凍食品棚を作った	5	4	5	2	3	15	Birdseye関連特許20件以上の網羅・1929年General Foods $22M買収契約一次資料・Description全文	Day 9（2026-05-07）公開済 ep41 /notes/41-food-health-patent-memo-01	【DB訂正2026-05-07】Original Assignee「Frosted Foods Co Inc」、発明者「Clarence Birdseye 単独」、Priority 1926-07-13・Filing 1927-06-18・Grant 1930-08-12（DB「1927年特許」は filing 年）。1929年Postum→GF買収は推定$22M（一次資料未確認・後年事業史本での通説）	現代冷凍技術（IQF/液体窒素急速凍結）との設計差を明記する	急速凍結による品質保持の初期実装。現代IQF技術とは規模・精度が根本的に異なる
FH-002	Published	食品・健康特許	特許	電子レンジ特許	https://patents.google.com/patent/US2495429A/en	Verified	マイクロ波による加熱という偶然の発見が家電産業と食文化を変えた前史として読める	1945年Raytheonが特許にした電子レンジ──US2495429AのPercy Spencerはチョコを溶かすつもりがなかった	5	4	5	2	3	15	Spencer本人の証言一次資料・Raytheon内の発明報酬問題（$2一時金）・1947年初号機の価格	Day 10（2026-05-07）公開済 ep44 /notes/44-food-health-patent-memo-02	【DB確認2026-05-07】Raytheon Manufacturing Company、Percy L. Spencer **単独**発明（1945-10-08出願・1950-01-24成立・1967-01-24失効）。Title「Method of Treating Foodstuffs」。Claim 1全文取得済。Specification要約に「ゆで卵2 kW秒 vs 36 kW秒」の効率比較記述あり	電子レンジの加熱原理（マイクロ波誘電加熱）と現代のインバーター制御技術の差を明記する	マイクロ波誘電加熱の初期特許。現代のインバーターレンジとは制御方式が根本的に異なる
FH-003	Published	食品・健康特許	特許	アスピリン特許	https://patents.google.com/patent/US644077A/en	Verified	アセチルサリチル酸の安定化という発明が現代の医薬品規制・OTC市場・冠動脈予防療法の前史として読める	1898年 Hoffmann が出願した『アセチルサリチル酸』物質特許 US644077A──ドイツ本国不成立、米国1900年成立	5	4	3	3	3	14	Bayer Archive (Leverkusen) Hoffmann 自筆ノート1897年実験記録・Eichengrün 1949年論争原典・Sneader 2000 BMJ原文・1918年12月 Alien Property Custodian 公式記録	Day 11（2026-05-07）公開済 ep47 /notes/47-food-health-patent-memo-03	【DB一致確認2026-05-07】発明者「Felix Hoffmann」**単独**（DB一致）、Original Assignee「Farbenfabriken of Elberfeld Co」（Bayer 旧米国法人名）、Filing 1898-08-01・Grant 1900-02-27・Expiration 1917-02-27（17年）。Claim 1 は「new article of manufacture」物質特許で acetyl salicylic acid を物理化学的特性で定義	現代アスピリン製剤は合成法・純度・コーティング技術が根本的に異なる。100mg抗血小板療法はBayerが想定していなかった用途	アセチルサリチル酸の安定化製剤の初期特許。現代の抗血小板療法は特許申請時未想定の用途
FH-004	Source Found	食品・健康特許	特許	アスパルテーム特許	https://patents.google.com/patent/US3492131	Primary Found Not Read	偶然の発見から合成甘味料の規制・FDA承認論争・ラムズフェルド政治介入への前史として読める	1965年G.D. Searleが特許にしたアスパルテーム──FDA承認まで16年かかった人工甘味料の一次資料	4	4	3	3	3	13	Rumsfeld/FDA承認論争の一次資料・ヨーロッパとの規制差・発がんリスク論争の現状	URL確認後にClaim 1を確認	G.D. Searle & Co.（James Schlatter、1965年偶然発見）	現代の人工甘味料安全性評価は1965年とは基準が根本的に異なる。断定的な発がんリスク主張は避ける	合成甘味料の構造特許。現代の安全性基準は設計時の基準とは別の問題
FH-005	Source Found	食品・健康特許	特許	テフロン（PTFE）特許	https://patents.google.com/patent/US2230654	Primary Found Not Read	偶然発見されたフッ素ポリマーがフライパンコーティングから宇宙材料まで広がった前史として読める	1938年DuPontが特許にしたテフロン──US2230654の偶然の発見が台所を変えた	4	3	4	3	3	13	Plunkett本人の発見記録・PTFE vs FEPの技術差・PFOA問題（環境リスク）の現代的文脈	Claim 1とPTFEの化学的記述確認	DuPont、Roy J. Plunkett（1938年偶然発見）	現代のPFAS問題（環境汚染）とPTFEの安全性は分けて扱う。「テフロン=有害」の単純化は不正確	ポリテトラフルオロエチレンの初期特許。現代のコーティング材料とは組成・製法が異なる
FH-006	Source Found	食品・健康特許	特許	MSG（グルタミン酸ナトリウム）商業特許	https://patents.google.com/patent/JP1908000009380	Primary Found Not Read	池田菊苗の発見から現在のうま味科学・食品添加物規制・中華料理症候群議論への前史	日本特許14805（1908年）に続く商業製造特許──MSG工業化の一次資料	3	4	3	4	3	13	日本特許の英語取得難易度・鈴木製薬への技術移転経緯・中華料理症候群の科学的評価	日本特許14805の内容確認（ep10で一部扱い済み）。商業製造特許は別途確認	池田菊苗/東京帝大、鈴木製薬（現Ajinomoto）	ep10（Kitchen Health Archaeology #1）で池田の発見論文は扱い済み。商業化特許として追記
PH-001	Published	医薬特許	特許	スタチン（コンパクチン／ML-236B）特許	https://patents.google.com/patent/US4049495A/en	Verified	コレステロール合成酵素HMG-CoA阻害薬の発見が現代の心臓病予防医療の前史として読める	遠藤章ら5名が1974年優先で特許にしたコンパクチン──6000株のカビから見つけたML-236B	5	5	4	3	4	17	Description全文・三共社内研究ノート・1980年臨床中断の社内意思決定資料・Merck Alberts訪問議事録	Day 9（2026-05-07）公開済 ep40 /notes/40-pharma-patent-memo-01	【DB訂正2026-05-07】特許番号「US4231938」は誤り（Merck Lovastatin別物・Monaghan他4名・1979出願）。正しくは US4049495A（三共・Endo/Kuroda/Terahara/Tsujita/Tamura **5名共同**・Priority 1974-06-07・US filing 1975-12-04・Grant 1977-09-20）。DB「単独」「1973発見1976出願」も誤り	メバスタチン（コンパクチン）の中断→ロバスタチン（Merck）承認という流れを正確に記述する	カビ由来HMG-CoA阻害薬の先行例。Merckのロバスタチンが最初の承認スタチンであり別化合物
PH-002	Published	医薬特許	特許	インスリン特許	https://patents.google.com/patent/US1469994	Verified	発見者が$1で譲渡したインスリン特許が現在も高価なインスリン価格問題と対照される前史として読める	Bantingが$1で手放したインスリン特許US1469994──「薬は世界のもの」が実現しなかった100年	5	4	3	3	4	15	1923年1月の3名譲渡契約書原本（トロント大学アーカイブで参照可能）・Eli Lillyへの独占ライセンス条件・現代インスリン価格（米$300 vs. カナダ$30）	Day 10（2026-05-07）公開済 ep43 /notes/43-pharma-patent-memo-02	【DB訂正2026-05-07】発明者は Frederick G. Banting / Charles H. Best / James B. Collip **3名共同**（DB「Banting/Best 2名」記載は誤り）。Original Assignee は **University of Toronto と University of Alberta の共同譲受**（DB「UoT単独に売却」は誤り、Collipのアルバータ大学籍を反映）。Priority/Filing 1923-01-12・Grant 1923-10-09・失効1940-10-09。Claim 1全文取得済	製造法特許の失効後も現代インスリンが高価な理由（新製剤の特許・PBM・流通）は別の問題として明記	インスリン製造法の初期特許。現代の組み換えインスリン製剤とは製造方法・分子構造が根本的に異なる
PH-003	Published	医薬特許	特許	PCR（ポリメラーゼ連鎖反応）特許	https://patents.google.com/patent/US4683195A/en	Verified	DNAを試験管内で増幅する技術がCOVID-19診断・遺伝子編集・法医学の基盤として読める	1985年Cetusが6名共同で特許にしたPCR検出応用版──US4683195AがDNA診断を民主化した	5	5	5	3	4	18	Description全文・Cetus内部実験ノート・1985 Saiki et al. *Science*論文原文・1991年 Roche-Cetus 買収契約・Mullis vs Cetus発明権交渉	Day 9（2026-05-07）公開済 ep39 /notes/39-pharma-patent-01	【DB訂正2026-05-07】DB「Mullis本人の発明」は不正確、US4683195Aは Arnheim/Erlich/Horn/Mullis/Saiki/Scharf **6名共同**。Mullis単独の核アイデア特許は別番号 US4683202A、Taq採用版は US4965188A。3本ファミリー構造	PCR単独のCOVID診断への直接継承は説明が必要。qPCR・RT-PCRは別の技術的発展	特定DNA配列の熱サイクル増幅の前史。現代のdigital PCRやLAMPとは設計が発展している
PH-004	Published	医薬特許	特許	モノクローナル抗体特許（あえて非特許化した発見）	https://www.nobelprize.org/prizes/medicine/1984/summary/	Verified	特許化しなかった発見が現代のがん治療薬（ハーセプチン・キイトルーダ）産業の前史として読める	Köhler-Milsteinが特許にしなかったモノクローナル抗体──非特許化という選択が現代バイオ産業を作った	5	5	2	4	4	16	MRC↔Milstein書簡原本（英国国立公文書館で参照可能、未参照）・1980年代英国議会Spinks Report等の議事録・Wistarライセンス契約書・2024年市場規模一次資料	Day 10（2026-05-07）公開済 ep42 /notes/42-pharma-patent-02	【DB訂正2026-05-07】Köhler/Milstein 所属は **MRC Laboratory of Molecular Biology, Cambridge**（MRC直営研究所、Cambridge大学とは別組織）。DB「Cambridge University」は構造的に不正確。一次資料3層：(1) Nature 256:495-497 (1975-08-07)、(2) MRC返答書簡「it is not immediately obvious what patentable features are at present disclosed」、(3) 応用特許 US4172124A『Method of producing tumor antibodies』（Wistar Institute、Koprowski/Croce、1978-04-28出願・1979-10-23成立・1996失効）	特許を取らなかったことが「オープンにした」という美談化に注意。実際は政策的判断と組織の問題	ハイブリドーマ法によるモノクローナル抗体生産の前史。特許化されなかった事例として読む（URL欄はNobel Prize公式）
PH-005	Published	医薬特許	特許	β遮断薬プロプラノロール特許	https://patents.google.com/patent/US3408387A/en	Verified	β受容体遮断という概念が現代の高血圧・心不全・緑内障治療薬の前史として読める	ICI のβ遮断薬2系列特許──本体 US3337628A（Crowther/Smith）と派生 US3408387A（Howe/Smith）、Black は Nobel 受賞も特許名義不在	4	5	3	3	4	15	ICI 社内記録 / Black 自伝・伝記中の発明者認定経緯記述 / pronethalol 撤回内部記録 / 1965年UK・1967年US 承認時臨床試験データ / 派生 β1選択遮断薬特許群（atenolol ICI 1976）	Day 11（2026-05-07）公開済 ep46 /notes/46-pharma-patent-memo-03	【DB訂正2026-05-07】DB登録 US3408387A 発明者「James W. Black」記載は誤り。実体は (1) DB登録 US3408387A『Amidoaroxyalkanolamines』派生系列：**Ralph Howe / Leslie Harold Smith** 2名、(2) プロプラノロール本体 US3337628A『3-naphthyloxy-2-hydroxypropylamines』：**Albert Frederick Crowther / Leslie Harold Smith** 2名。両特許とも譲受人 ICI、Black の名前は両特許とも記名なし（Black は ICI リサーチディレクターとして研究指導、特許化は化学者が担当の分業）。Black は1988年 Nobel 医学生理学賞受賞	プロプラノロールと選択的β1遮断薬（アテノロール等）の差を明記する	β受容体アンタゴニスト設計の先行例。現代の選択的β1遮断薬とは受容体選択性が異なる
CS-001	Source Found	化粧品特許	特許	レチノイン酸（トレチノイン）特許	https://patents.google.com/patent/US3729568	Primary Found Not Read	ビタミンA誘導体が光老化・ニキビ・シワへの処方薬として確立された前史として読める	Kligmanが1971年に特許にしたRetin-A──US3729568が変えたスキンケアの科学	4	4	4	3	4	15	FDA 1971年ニキビ承認→1995年光老化承認の経緯・Kligmanの倫理問題（囚人実験）・市販化への道	Claim 1と製剤処方の記述確認	University of Pennsylvania、Albert M. Kligman（J.E. Fultonと共同）	Kligmanの人体実験（フィラデルフィア刑務所での試験）は医療倫理上の問題として明記が必要	ビタミンA誘導体局所製剤の先行例。市販のレチノール製品とはトレチノイン濃度・処方が根本的に異なる
CS-002	Source Found	化粧品特許	特許	ボトックス（ボツリヌス毒素治療）特許	https://patents.google.com/patent/US4932936	Primary Found Not Read	神経毒の医療応用が美容医療・神経筋疾患治療・多汗症治療の前史として読める	Allerganが1989年に特許にしたボトックス──US4932936が作った「毒を薬にする」という発想	5	5	3	3	4	16	Alan Scott（Strabismus研究）との関係・Allergan取得経緯・美容適応承認（2002年）の経緯	URL確認後にClaim 1（毒素の精製・用量記述）を確認	Oculinum Inc.→Allergan（1991年取得）、Alan Scott原開発	ボツリヌス毒素の毒性と治療量の安全域を混同しないよう明記する	ボツリヌス毒素の医療用精製・用量特許。現代の美容整形適応はその後の臨床開発で拡張された用途
CS-003	Source Found	化粧品特許	特許	ヒアルロン酸フィラー応用特許	https://patents.google.com/patent/US4636524	Primary Found Not Read	体内物質ヒアルロン酸の架橋安定化技術が現代の美容医療・変形性関節症治療の前史として読める	Balazs が1980年代に特許にした架橋ヒアルロン酸──US4636524が美容フィラー産業を作った	4	5	3	3	4	15	Endre Balazs（コロンビア大学）の研究経緯・Restylane（Q-Med）・Juvederm（Allergan）の特許系譜	URL確認後にClaim 1（架橋技術）を確認	Columbia University/Matrix Biology Institute、Endre Balazs	天然ヒアルロン酸と架橋HA製剤の生体内挙動の違いを明記する	架橋安定化による注射用ヒアルロン酸製剤の前史。現代製品は架橋密度・修飾法が進化している
